Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,6,150,1000
2,0,121,199,1000
3,0,289,199,1000
4,0,456,199,1000
5,0,623,199,1000
6,0,790,199,0
7,0,800,200,0
8,0,800,200,0
9,0,800,200,0
10,0,800,200,0
11,0,800,200,0
12,0,800,200,0
13,0,800,200,0
14,0,800,200,0
15,0,800,200,0
16,0,800,200,0
17,0,800,200,0
18,0,800,200,0
19,0,800,200,0
20,0,800,200,0
21,0,800,200,0
22,0,800,200,0
23,0,800,200,0
24,0,800,200,0
25,0,800,200,0
26,0,800,200,0
27,0,800,200,0
28,0,800,200,0
29,0,800,200,0
30,0,800,200,0
31,0,800,200,0
32,0,800,200,0
33,0,800,200,0
34,0,800,200,0
35,0,800,200,0
36,0,800,200,0
37,0,800,200,0
38,0,800,200,0
39,0,800,200,0
40,0,800,200,0
41,0,800,200,0
42,0,800,200,0
43,0,800,200,0
44,0,800,200,0
45,0,800,200,0
46,0,800,200,0
47,0,800,200,0
48,0,800,200,0
49,0,800,200,0
50,0,800,200,0
51,0,800,200,0
52,0,800,200,0
53,0,800,200,0
54,0,800,200,0
55,0,800,200,0
56,0,800,200,0
57,0,800,200,0
58,0,800,200,0
59,0,800,200,0
60,0,800,200,0
61,0,800,200,0
62,0,800,200,0
63,0,800,200,0
64,0,800,200,0
65,0,800,200,0
66,0,800,200,0
67,0,800,200,0
68,0,800,200,0
69,0,800,200,0
70,0,800,200,0
71,0,800,200,0
72,0,800,200,0
73,0,800,200,0
74,0,800,200,0
75,0,800,200,0
76,0,800,200,0
77,0,800,200,0
78,0,800,200,0
79,0,800,200,0
80,0,800,200,0
81,0,800,200,0
82,0,800,200,0
83,0,800,200,0
84,0,800,200,0
85,0,800,200,0
86,0,800,200,0
87,0,800,200,0
88,0,800,200,0
89,0,800,200,0
90,0,800,200,0
91,0,800,200,0
92,0,800,200,0
93,0,800,200,0
94,0,800,200,0
95,0,800,200,0
96,0,800,200,0
97,0,800,200,0
98,0,800,200,0
99,0,800,200,0
100,0,800,200,0
101,0,800,200,0
102,0,800,200,0
103,0,800,200,0
104,0,800,200,0
105,0,800,200,0
106,0,800,200,0
107,0,800,200,0
108,0,800,200,0
109,0,800,200,0
110,0,800,200,0
111,0,800,200,0
112,0,800,200,0
113,0,800,200,0
114,0,800,200,0
115,0,800,200,0
116,0,800,200,0
117,0,800,200,0
118,0,800,200,0
119,0,800,200,0
120,0,800,200,0
121,0,800,200,0
122,0,800,200,0
123,0,800,200,0
124,0,800,200,0
125,0,800,200,0
126,0,800,200,0
127,0,800,200,0
128,0,800,200,0
129,0,800,200,0
130,0,800,200,0
131,0,800,200,0
132,0,800,200,0
133,0,800,200,0
134,55,745,200,0
135,59,741,200,0
136,59,741,200,0
137,59,741,200,0
138,59,741,200,0
139,744,56,200,0
140,744,56,200,0
141,744,56,200,0
142,744,56,200,0
143,800,0,200,0
144,800,0,200,0
145,800,0,200,0
146,800,0,200,0
147,800,0,200,0
148,800,0,200,0
149,800,0,200,0
150,800,0,200,0
151,800,0,200,0
152,800,0,200,0
153,800,0,200,0
154,800,0,200,0
155,800,0,200,0
156,800,0,200,0
157,800,0,200,0
158,800,0,200,0
159,800,0,200,0
160,800,0,200,0
161,800,0,200,0
162,800,0,200,0
163,800,0,200,0
164,800,0,200,0
165,800,0,200,0
166,800,0,200,0
167,800,0,200,0
168,800,0,200,0
169,800,0,200,0
170,800,0,200,0
171,800,0,200,0
172,800,0,200,0
173,800,0,200,0
174,800,0,200,0
175,800,0,200,0
176,800,0,200,0
177,800,0,200,0
178,800,0,200,0
179,800,0,200,0
180,800,0,200,0
181,800,0,200,0
182,800,0,200,0
183,800,0,200,0
184,800,0,200,0
185,800,0,200,0
186,800,0,200,0
187,800,0,200,0
188,800,0,200,0
189,800,0,200,0
190,800,0,200,0
191,800,0,200,0
192,800,0,200,0
193,800,0,200,0
194,800,0,200,0
195,800,0,200,0
196,800,0,200,0
197,800,0,200,0
198,800,0,200,0
199,800,0,200,0
200,800,0,200,0
201,800,0,200,0
202,800,0,200,0
203,800,0,200,0
204,800,0,200,0
205,800,0,200,0
206,800,0,200,0
207,800,0,200,0
208,800,0,200,0
209,800,0,200,0
210,800,0,200,0
211,800,0,200,0
212,800,0,200,0
213,800,0,200,0
214,800,0,200,0
215,800,0,200,0
216,800,0,200,0
217,800,0,200,0
218,800,0,200,0
219,800,0,200,0
220,800,0,200,0
221,800,0,200,0
222,800,0,200,0
223,800,0,200,0
224,800,0,200,0
225,800,0,200,0
226,800,0,200,0
227,800,0,200,0
228,800,0,200,0
229,800,0,200,0
230,800,0,200,0
231,800,0,200,0
232,800,0,200,0
233,800,0,200,0
234,800,0,200,0
235,800,0,200,0
236,800,0,200,0
237,800,0,200,0
238,800,0,200,0
239,800,0,200,0
240,800,0,200,0
241,800,0,200,0
